gene	process	chr	function	ENSG
NDUFA11	Electron transport chain	19	NDUFA11: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000174886
NDUFA12	Electron transport chain	12	NDUFA12: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000184752
NDUFA13	Electron transport chain	19	NDUFA13: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000186010
NDUFAB1	Electron transport chain	16	NDUFAB1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000004779
NDUFB1	Electron transport chain	14	NDUFB1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000183648
NDUFB2	Electron transport chain	7	NDUFB2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000090266
NDUFB3	Electron transport chain	2	NDUFB3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000119013
NDUFB4	Electron transport chain	3	NDUFB4: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000065518
NDUFB5	Electron transport chain	3	NDUFB5: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000136521
NDUFB6	Electron transport chain	9	NDUFB6: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000165264
NDUFB7	Electron transport chain	19	NDUFB7: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000099795
NDUFB8	Electron transport chain	10	NDUFB8: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000166136
NDUFB9	Electron transport chain	8	NDUFB9: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000147684
NDUFB10	Electron transport chain	16	NDUFB10: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000140990
NDUFB11	Electron transport chain	X	NDUFB11: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000147123
NDUFC1	Electron transport chain	4	NDUFC1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000109390
NDUFC2	Electron transport chain	11	NDUFC2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000151366
NDUFS1	Electron transport chain	2	NDUFS1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000023228
NDUFS2	Electron transport chain	1	NDUFS2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000158864
NDUFS3	Electron transport chain	11	NDUFS3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000213619
NDUFS4	Electron transport chain	5	NDUFS4: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000164258
NDUFS5	Electron transport chain	1	NDUFS5: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000168653
NDUFS6	Electron transport chain	5	NDUFS6: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000145494
NDUFS7	Electron transport chain	19	NDUFS7: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000115286
NDUFS8	Electron transport chain	11	NDUFS8: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000110717
NDUFV1	Electron transport chain	11	NDUFV1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000167792
NDUFV2	Electron transport chain	18	NDUFV2: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000178127
NDUFV3	Electron transport chain	21	NDUFV3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000160194
CYC1	Electron transport chain	8	CYC1: Essential component of complex III transfers electrons from iron sulphur protein to cytochrome c	ENSG00000179091
MT-CYB	Electron transport chain	MT	MT-CYB: Essential component of complex III transfers electrons from iron sulphur protein to cytochrome c	ENSG00000198727
UQCR10	Electron transport chain	22	UQCR10: Ubiquinol-cytochrome c reductase essential component of complex III	ENSG00000184076
UQCR11	Electron transport chain	19	UQCR11: Ubiquinol-cytochrome c reductase essential component of complex III	ENSG00000127540
UQCRB	Electron transport chain	8	UQCRB: Ubiquinol-cytochrome c reductase binding protein essential component of complex III	ENSG00000156467
UQCRC1	Electron transport chain	3	UQCRC1: Ubiquinol-cytochrome c reductase core protein I essential component of complex III	ENSG00000010256
UQCRC2	Electron transport chain	16	UQCRC2: Ubiquinol-cytochrome c reductase core protein II essential component of complex III	ENSG00000140740
UQCRFS1	Electron transport chain	19	UQCRFS1: Ubiquinol-cytochrome c reductase Rieske iron-sulfur polypeptide 1 essential component of complex III	ENSG00000169021
UQCRH	Electron transport chain	1	UQCRH: Ubiquinol-cytochrome c reductase hinge protein essential component of complex III	ENSG00000173660
UQCRQ	Electron transport chain	5	UQCRQ: Ubiquinol-cytochrome c reductase essential component of complex III	ENSG00000164405
COX4I1	Electron transport chain	16	COX4I1: Cytochrome c oxidase subunit IV isoform 1 essential component of complex IV	ENSG00000131143
COX4I2	Electron transport chain	20	COX4I2: Cytochrome c oxidase subunit IV isoform 2 (lung) essential component of complex IV	ENSG00000131055
COX5A	Electron transport chain	15	COX5A: Cytochrome c oxidase subunit Va essential component of complex IV	ENSG00000178741
COX5B	Electron transport chain	2	COX5B: Cytochrome c oxidase subunit Vb essential component of complex IV	ENSG00000135940
COX6A1	Electron transport chain	12	COX6A1: Cytochrome c oxidase subunit VIa polypeptide 1 essential component of complex IV	ENSG00000111775
COX6A2	Electron transport chain	16	COX6A2: Cytochrome c oxidase subunit VIa polypeptide 2 essential component of complex IV	ENSG00000156885
COX6B1	Electron transport chain	19	COX6B1: Cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) essential component of complex IV	ENSG00000126267
COX6B2	Electron transport chain	19	COX6B2: Cytochrome c oxidase subunit VIb polypeptide 2 (testis) essential component of complex IV	ENSG00000160471
COX6C	Electron transport chain	8	COX6C: Cytochrome c oxidase subunit VIc essential component of complex IV	ENSG00000164919
COX7A1	Electron transport chain	19	COX7A1: Cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) essential component of complex IV	ENSG00000161281
COX7A2	Electron transport chain	6	COX7A2: Cytochrome c oxidase subunit VIIa polypeptide 2 (liver) essential component of complex IV	ENSG00000112695
COX7B	Electron transport chain	X	COX7B: Cytochrome c oxidase subunit VIIb essential component of complex IV	ENSG00000131174
COX7B2	Electron transport chain	4	COX7B2: Cytochrome c oxidase subunit VIIb2 essential component of complex IV	ENSG00000170516
COX7C	Electron transport chain	5	COX7C: Cytochrome c oxidase subunit VIIc essential component of complex IV	ENSG00000127184
COX8A	Electron transport chain	11	COX8A: Cytochrome c oxidase subunit VIIIA (ubiquitous) essential component of complex IV	ENSG00000176340
MT-CO1	Electron transport chain	MT	MT-CO1: Mitochondrially encoded cytochrome c oxidase I essential component of complex IV	ENSG00000198804
MT-CO2	Electron transport chain	MT	MT-CO2: Mitochondrially encoded cytochrome c oxidase II essential component of complex IV	ENSG00000198712
MT-CO3	Electron transport chain	MT	MT-CO3: Mitochondrially encoded cytochrome c oxidase III essential component of complex IV	ENSG00000198938
ATP5A1	Electron transport chain	18	ATP5A1: ATP synthase H+ transporting mitochondrial F1 complex alpha subunit 1 cardiac muscle essential component of complex V	ENSG00000152234
ATP5B	Electron transport chain	12	ATP5B: ATP synthase H+ transporting mitochondrial F1 complex beta polypeptide essential component of complex V	ENSG00000110955
ATP5C1	Electron transport chain	10	ATP5C1: ATP synthase H+ transporting mitochondrial F1 complex gamma polypeptide 1 essential component of complex V	ENSG00000165629
ATP5D	Electron transport chain	19	ATP5D: ATP synthase H+ transporting mitochondrial F1 complex delta subunit essential component of complex V	ENSG00000099624
ATP5E	Electron transport chain	20	ATP5E: ATP synthase H+ transporting mitochondrial F1 complex epsilon subunit essential component of complex V	ENSG00000124172
ATP5F1	Electron transport chain	1	ATP5F1: ATP synthase H+ transporting mitochondrial Fo complex subunit B1 essential component of complex V	ENSG00000116459
ATP5G1	Electron transport chain	17	ATP5G1: ATP synthase H+ transporting mitochondrial Fo complex subunit C1 (subunit 9) essential component of complex V	ENSG00000159199
ATP5G2	Electron transport chain	12	ATP5G2: ATP synthase H+ transporting mitochondrial Fo complex subunit C2 (subunit 9) essential component of complex V	ENSG00000135390
ATP5G3	Electron transport chain	2	ATP5G3: ATP synthase H+ transporting mitochondrial Fo complex subunit C3 (subunit 9) essential component of complex V	ENSG00000154518
ATP5H	Electron transport chain	17	ATP5H: ATP synthase H+ transporting mitochondrial Fo complex subunit d essential component of complex V	ENSG00000167863
ATP5I	Electron transport chain	4	ATP5I: ATP synthase H+ transporting mitochondrial Fo complex subunit E essential component of complex V	ENSG00000169020
ATP5J	Electron transport chain	21	ATP5J: ATP synthase H+ transporting mitochondrial Fo complex subunit F6 essential component of complex V	ENSG00000154723
ATP5J2	Electron transport chain	7	ATP5J2: ATP synthase H+ transporting mitochondrial Fo complex subunit F2 essential component of complex V	ENSG00000241468
ATP5L	Electron transport chain	11	ATP5L: ATP synthase H+ transporting mitochondrial Fo complex subunit G essential component of complex V	ENSG00000167283
ATP5O	Electron transport chain	21	ATP5O: ATP synthase H+ transporting mitochondrial F1 complex O subunit essential component of complex V	ENSG00000241837
ATPIF1	Electron transport chain	1	ATPIF1: ATPase inhibitory factor 1 essential component of complex V	ENSG00000130770
MT-ATP6	Electron transport chain	MT	MT-ATP6: Mitochondrially encoded ATP synthase 6 essential component of complex V	ENSG00000198899
MT-ATP8	Electron transport chain	MT	MT-ATP8: Mitochondrially encoded ATP synthase 6 essential component of complex V	ENSG00000228253
SLC27A1	Fatty acid beta-oxidation	19	SLC27A1: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000130304
SLC27A2	Fatty acid beta-oxidation	15	SLC27A2: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000140284
SLC27A3	Fatty acid beta-oxidation	1	SLC27A3: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000143554
SLC27A4	Fatty acid beta-oxidation	9	SLC27A4: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000167114
SLC27A5	Fatty acid beta-oxidation	19	SLC27A5: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000083807
SLC27A6	Fatty acid beta-oxidation	5	SLC27A6: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000113396
ACSL1	Fatty acid beta-oxidation	4	ACSL1: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000151726
ACSL3	Fatty acid beta-oxidation	2	ACSL3: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000123983
ACSL4	Fatty acid beta-oxidation	X	ACSL4: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000068366
ACSL5	Fatty acid beta-oxidation	10	ACSL5: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000197142
ACSL6	Fatty acid beta-oxidation	5	ACSL6: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000164398
ACSS1	Fatty acid beta-oxidation	20	ACSS1: Acyl-CoA synthetase activity for short chain fatty acids	ENSG00000154930
ACSS2	Fatty acid beta-oxidation	20	ACSS2: Acyl-CoA synthetase activity for short chain fatty acids	ENSG00000131069
ACSS3	Fatty acid beta-oxidation	12	ACSS3: Acyl-CoA synthetase activity for short chain fatty acids	ENSG00000111058
ACSM1	Fatty acid beta-oxidation	16	ACSM1: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000166743
ACSM2A	Fatty acid beta-oxidation	16	ACSM2A: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000183747
ACSM2B	Fatty acid beta-oxidation	16	ACSM2B: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000066813
ACSM3	Fatty acid beta-oxidation	16	ACSM3: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000005187
ACSM4	Fatty acid beta-oxidation	12	ACSM4: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000215009
ACSM5	Fatty acid beta-oxidation	16	ACSM5: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000183549
C10orf129	Fatty acid beta-oxidation	10	C10orf129: ACSM6 Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000173124
ACSBG1	Fatty acid beta-oxidation	15	ACSBG1: Acyl-CoA synthetase activity for bubblegum family members	ENSG00000103740
ACSBG2	Fatty acid beta-oxidation	19	ACSBG2: Acyl-CoA synthetase activity for bubblegum family members	ENSG00000130377
FABP1	Fatty acid beta-oxidation	2	FABP1: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000163586
FABP2	Fatty acid beta-oxidation	4	FABP2: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000145384
FABP3	Fatty acid beta-oxidation	1	FABP3: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000121769
FABP4	Fatty acid beta-oxidation	8	FABP4: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000170323
FABP5	Fatty acid beta-oxidation	8	FABP5: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000164687
FABP6	Fatty acid beta-oxidation	5	FABP6: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000170231
FABP7	Fatty acid beta-oxidation	6	FABP7: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000164434
FABP9	Fatty acid beta-oxidation	8	FABP9: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000205186
FABP12	Fatty acid beta-oxidation	8	FABP12: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000197416
CD36	Fatty acid beta-oxidation	7	CD36: Fatty acid translocase	ENSG00000135218
GOT2	Fatty acid beta-oxidation	16	GOT2: Plasma membrane fatty acid binding protein	ENSG00000125166
CPT1A	Fatty acid beta-oxidation	11	CPT1A: Carnitiine palmitoyl transferase converts an acyl-CoA into an acylcarnitine	ENSG00000110090
CPT1B	Fatty acid beta-oxidation	22	CPT1B: Carnitiine palmitoyl transferase converts an acyl-CoA into an acylcarnitine	ENSG00000205560
CPT1C	Fatty acid beta-oxidation	19	CPT1C: Carnitiine palmitoyl transferase converts an acyl-CoA into an acylcarnitine	ENSG00000169169
SLC25A20	Fatty acid beta-oxidation	3	SLC25A20: Carnitine acylcarnitine translocase mediates acylcarnitine entry into mitochondria	ENSG00000178537
CPT2	Fatty acid beta-oxidation	1	CPT2: Acylcarnitines are reconverted to their CoA esters by carnitine palmitoyltransferase 2	ENSG00000157184
CRAT	Fatty acid beta-oxidation	9	CRAT: Free carnitine in the mitochondria can be converted into acyl carnitine by the action of carnitine acetyl transferase	ENSG00000095321
ACAD8	Fatty acid beta-oxidation	11	ACAD8: Involved in the caatabolism of fatty acids and branched chain aminoacid valine	ENSG00000151498
ACAD10	Fatty acid beta-oxidation	12	ACAD10: Involved in the catabolism of fatty acids with significant activity towards branched chains	ENSG00000111271
ACAD11	Fatty acid beta-oxidation	3	ACAD11: May be involved in the catabolism of long chain fatty acids	ENSG00000240303
ACADL	Fatty acid beta-oxidation	2	ACADL: Long chain hydroxyacyl-CoA dehydrogenase	ENSG00000115361
ACADVL	Fatty acid beta-oxidation	17	ACADVL: Very long chain acyl-CoAs are first catalyzed by long chain acyl-CoA dehydrogenase	ENSG00000072778
HADHA	Fatty acid beta-oxidation	2	HADHA: Mitochondrial trifunctional protein catalyzes the Very long and long chain fatty acids	ENSG00000084754
HADHB	Fatty acid beta-oxidation	2	HADHB: Mitochondrial trifunctional protein catalyzes the Very long and long chain fatty acids	ENSG00000138029
ACADM	Fatty acid beta-oxidation	1	ACADM: Fatty acids are metabolized for 3 to 4 cycles by the medium chain acyl-CoA dehydrogenase	ENSG00000117054
ECHS1	Fatty acid beta-oxidation	10	ECHS1: Enoyl-CoA hydratases, short chain, 1, mitochondrial	ENSG00000127884
HADH	Fatty acid beta-oxidation	4	HADH: Medium and short chain hydroxyacyl-CoA dehydrogenase	ENSG00000138796
ACAA2	Fatty acid beta-oxidation	18	ACAA2: Medium chain 3-ketoacyl-CoA thiolase	ENSG00000167315
ACADS	Fatty acid beta-oxidation	12	ACADS: Short chain acyl-CoA dehydrogenase encoded by ACADS catalyzes the final 1 to 2 cycles	ENSG00000122971
ACADSB	Fatty acid beta-oxidation	10	ACADSB: Involved in the metabolism of short branched chain fatty acids	ENSG00000196177
DECR1	Fatty acid beta-oxidation	8	DECR1: 2,4 dienoyl CoA reductase 1 catalyzes the metabolism of Polyunsaturated fatty acids	ENSG00000104325
CPS1	Urea Cycle	2	CPS1: Carbamoyl phosphate synthetase catalyzes the step where free NH4+ with HCO3- to form carbamoyl phosphate	ENSG00000021826
OTC	Urea Cycle	X	OTC: Ornithine transcarbamoylase catalyzes the step in which carbamoyl phosphate combines with ornithine to form citruline	ENSG00000036473
ASS1	Urea Cycle	9	ASS1: Argininosuccinate synthetase catalyzes the step where Citruline combines with Aspartate to form Argininosuccinate	ENSG00000130707
ASL	Urea Cycle	7	ASL: Argininosuccinate lyase catalyzes the reaction where Argininosuccinate is cleaved of its nitrogen and carbon skeleton forming arginine and fumarate respectively	ENSG00000126522
ARG1	Urea Cycle	6	ARG1: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	ENSG00000118520
ARG2	Urea Cycle	14	ARG2: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	ENSG00000081181
APAF1	Apoptosis	12	APAF1: Binds CASP9 preprotein forming an apoptosome and activates it	ENSG00000120868
CASP3	Apoptosis	4	CASP3: Executioner caspases leading to apoptosis	ENSG00000164305
MAPK1	Apoptosis	22	MAPK1: Inhibitors of CASP9 activity	ENSG00000100030
CASP7	Apoptosis	10	CASP7: Executioner caspases leading to apoptosis	ENSG00000165806
DIABLO	Apoptosis	12	DIABLO: Acts as caspase activator by inhibiting the inhibitors of apoptotic proteins	ENSG00000184047
XIAP	Apoptosis	X	XIAP: X-linked inhibitor of apoptosis protein inhibits caspase activity by directly binding to CASP9, 3 and 7	ENSG00000101966
BCL2	Apoptosis	18	BCL2: Bcl-2 family member Anti-apoptotic proteins	ENSG00000171791
BCL2L1	Apoptosis	20	BCL2L1: Bcl-2 family member Anti-apoptotic proteins	ENSG00000171552
MCL1	Apoptosis	1	MCL1: Bcl-2 family member Anti-apoptotic proteins	ENSG00000143384
BAX	Apoptosis	19	BAX: Bcl-2 family member propagating apoptosis	ENSG00000087088
BAK1	Apoptosis	6	BAK1: Bcl-2 family member propagating apoptosis	ENSG00000030110
BAD	Apoptosis	11	BAD: Bcl-2 family member propagating apoptosis	ENSG00000002330
BIK	Apoptosis	22	BIK: Bcl-2 family member propagating apoptosis	ENSG00000100290
BID	Apoptosis	22	BID: Bcl-2 family member propagating apoptosis	ENSG00000015475
BCL2L11	Apoptosis	2	BCL2L11: Bim Bcl-2 family member propagating apoptosis	ENSG00000153094
PMAIP1	Apoptosis	18	PMAIP1: Noxa Bcl-2 family member propagating apoptosis	ENSG00000141682
BBC3	Apoptosis	19	BBC3: Puma Bcl-2 family member propagating apoptosis	ENSG00000105327
TP53	Apoptosis	17	TP53: Directly binds both BAK and BAX and activates them	ENSG00000141510
VDAC1	Apoptosis	5	VDAC1: Voltage dependent anion channel forms part of permeability transition pore and also involved in the takeup of calcium ions from the Endoplasmic reticulum	ENSG00000213585
VDAC2	Apoptosis	10	VDAC2: Voltage dependent anion channel forms part of permeability transition pore and also involved in the takeup of calcium ions from the Endoplasmic reticulum	ENSG00000165637
VDAC3	Apoptosis	8	VDAC3: Voltage dependent anion channel forms part of permeability transition pore and also involved in the takeup of calcium ions from the Endoplasmic reticulum	ENSG00000078668
SLC25A4	Apoptosis	4	SLC25A4: Adenine nucleotide translocator forms part of permeability transition pore	ENSG00000151729
SLC25A5	Apoptosis	X	SLC25A5: Adenine nucleotide translocator forms part of permeability transition pore	ENSG00000005022
SLC25A6	Apoptosis	X	SLC25A6: Adenine nucleotide translocator forms part of permeability transition pore	ENSG00000169100
APOPT1	Apoptosis	14	APOPT1: Localizes to the mitochondria and stimulates the release of cytochrome c	ENSG00000256053
PPIF	Apoptosis	10	PPIF: Cyclophilin D forms part of permeability transition pore	ENSG00000108179
CYCS	Apoptosis	7	CYCS: Binds to apoptosis inducing factor 1 (APAF1) forming a structure called apoptosome	ENSG00000172115
ANP32A	Apoptosis	15	ANP32A: Enhances APAF1 function	ENSG00000140350
CASP9	Apoptosis	1	CASP9: Initiator caspase recruited by Apoptosome	ENSG00000132906
CDK1	Apoptosis	10	CDK1: Can Inhibit CASP9 activity and also involved in the phosphorylation of DNM1L to increase fission	ENSG00000170312
DNM1	Apoptosis	9	DNM1: Recruited to mitochondria can induce cristae remodelling to release cytochrome c and subsequent apoptosis	ENSG00000106976
MAPK3	Apoptosis	16	MAPK3: Inhibitors of CASP9 activity	ENSG00000102882
EIF3M	Apoptosis	11	EIF3M: PCI domain containing protein 1 can negatively regulate CASP9 activity	ENSG00000149100
AIFM1	Apoptosis	X	AIFM1: Mitochondria associated apoptosis inducing factor translocates to nucleus and degrades DNA	ENSG00000156709
PPIA	Apoptosis	7	PPIA: Cyclophilin A might work with ENDOG in a DNA degradation complex	ENSG00000196262
HTRA2	Apoptosis	2	HTRA2: Mitochondrial serene protease induces cell death by inhibiting Inhibitors of apoptotic proteins	ENSG00000115317
ALAS2	Heme Biosynthesis	X	ALAS2: Catalyzes the reaction amino acid glycine and succinyl CoA from TCA cycle condenses to form 5-aminolevulinate (ALA) and CO2	ENSG00000158578
ALAS1	Heme Biosynthesis	3	ALAS1: Catalyzes the reaction amino acid glycine and succinyl CoA from TCA cycle condenses to form 5-aminolevulinate (ALA) and CO2	ENSG00000023330
FECH	Heme Biosynthesis	18	FECH: Ferrochelatase catalyzes the step involving the addition of Ferrous iron into the protoprphyrin IX to form the protoheme IX	ENSG00000066926
PPOX	Heme Biosynthesis	1	PPOX: Enzyme protoporphyrinogen oxidase coverts Protoporphyrinogen IX to Protoporphyrin IX	ENSG00000143224
CPOX	Heme Biosynthesis	3	CPOX: Coproporphyrinogen III is transported to mitochondria and in the presence of coproporphyrinogen III oxidase it is oxidatively decarboxylated	ENSG00000080819
UROD	Heme Biosynthesis	1	UROD: Uroporphyrinogen III decarboxylase catalyzes stepwise decarboxylation of the Uroporphyrinogen III	ENSG00000126088
UROS	Heme Biosynthesis	10	UROS: Enzyme uroporphyrinogen III syntase catalyzes the liner tetrapyrrole molecule is cyclized or rearranged	ENSG00000188690
HMBS	Heme Biosynthesis	11	HMBS: Hydroxymethylbilane synthase catalyzes head to tail condensation of four PBG and subsequent deamination to form a linear tetrapyrrole, Hydroxymethylbilane	ENSG00000256269
ALAD	Heme Biosynthesis	9	ALAD: ALA dehydratase catalyzes the reaction where two molecules of ALA condenses to form monopyrrole porphobilinogen (PBG)	ENSG00000148218
CS	Tricarboxylic acid cycle	12	CS: Catalyzes the synthesis of citrate from oxaloacetate and acetyl coenzyme A	ENSG00000062485
ACO2	Tricarboxylic acid cycle	22	ACO2: Catalyzes the interconversion of citrate to isocitrate 	ENSG00000100412
IDH2	Tricarboxylic acid cycle	15	IDH2: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000182054
IDH3A	Tricarboxylic acid cycle	15	IDH3A: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000166411
IDH1	Tricarboxylic acid cycle	2	IDH1: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000138413
IDH3B	Tricarboxylic acid cycle	20	IDH3B: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000101365
IDH3G	Tricarboxylic acid cycle	X	IDH3G: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000067829
OGDH	Tricarboxylic acid cycle	7	OGDH: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	ENSG00000105953
DLST	Tricarboxylic acid cycle	14	DLST: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	ENSG00000119689
DLD	Tricarboxylic acid cycle	7	DLD: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	ENSG00000091140
SUCLG1	Tricarboxylic acid cycle	2	SUCLG1: Catalyzes the conversion of succinyl CoA to succinate	ENSG00000163541
SUCLA2	Tricarboxylic acid cycle	13	SUCLA2: convert succinate to succinyl-CoA	ENSG00000136143
SUCLG2	Tricarboxylic acid cycle	3	SUCLG2: Catalyzes the conversion of succinyl CoA to succinate	ENSG00000172340
SDHA	Tricarboxylic acid cycle	5	SDHA: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000073578
SDHB	Tricarboxylic acid cycle	1	SDHB: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000117118
SDHC	Tricarboxylic acid cycle	1	SDHC: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000143252
SDHD	Tricarboxylic acid cycle	11	SDHD: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000204370
FH	Tricarboxylic acid cycle	1	FH: Catalyzes the formation of L-malate from fumarate	ENSG00000091483
MDH2	Tricarboxylic acid cycle	7	MDH2: Catalyzes the reversible oxidation of malate to oxaloacetate	ENSG00000146701
BRP44	Pyruvate transfer	1	BRP44: Mitochondrial pyruvate carrier 2	ENSG00000143158
BRP44L	Pyruvate transfer	6	BRP44L: Mitochondrial pyruvate carrier 1	ENSG00000060762
PDHA1	Formation of Acetyl CoA	X	PDHA1: Catalyzes the overall conversion of pyruvate to acetyl-CoA	ENSG00000131828
