gene	process	chr	function	ENSG	gene-start	gene-end	url	notes
NDUFV3	Electron transport chain	21	NDUFV3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000160194	42879644	42913304	http://www.ncbi.nlm.nih.gov/gene/4731	
CYC1	Electron transport chain	8	CYC1: Essential component of complex III transfers electrons from iron sulphur protein to cytochrome c	ENSG00000179091	144095027	144097525	http://www.ncbi.nlm.nih.gov/gene/1537	
MT-CYB	Electron transport chain	MT	MT-CYB: Essential component of complex III transfers electrons from iron sulphur protein to cytochrome c	ENSG00000198727	14747	15887	http://www.ncbi.nlm.nih.gov/gene/4519	
UQCR10	Electron transport chain	22	UQCR10: Ubiquinol-cytochrome c reductase essential component of complex III	ENSG00000184076	29767369	29770413	http://www.ncbi.nlm.nih.gov/gene/29796	
UQCR11	Electron transport chain	19	UQCR11: Ubiquinol-cytochrome c reductase essential component of complex III	ENSG00000127540	1597172	1605490	http://www.ncbi.nlm.nih.gov/gene/10975	
UQCRB	Electron transport chain	8	UQCRB: Ubiquinol-cytochrome c reductase binding protein essential component of complex III	ENSG00000156467	96225920	96235634	http://www.ncbi.nlm.nih.gov/gene/7381	
UQCRC1	Electron transport chain	3	UQCRC1: Ubiquinol-cytochrome c reductase core protein I essential component of complex III	ENSG00000010256	48599002	48610976	http://www.ncbi.nlm.nih.gov/gene/7384	
UQCRC2	Electron transport chain	16	UQCRC2: Ubiquinol-cytochrome c reductase core protein II essential component of complex III	ENSG00000140740	21952660	21983660	http://www.ncbi.nlm.nih.gov/gene/7385	
UQCRFS1	Electron transport chain	19	UQCRFS1: Ubiquinol-cytochrome c reductase Rieske iron-sulfur polypeptide 1 essential component of complex III	ENSG00000169021	29205321	29213541	http://www.ncbi.nlm.nih.gov/gene/7386	
UQCRH	Electron transport chain	1	UQCRH: Ubiquinol-cytochrome c reductase hinge protein essential component of complex III	ENSG00000173660	46303631	46316776	http://www.ncbi.nlm.nih.gov/gene/7388	
UQCRQ	Electron transport chain	5	UQCRQ: Ubiquinol-cytochrome c reductase essential component of complex III	ENSG00000164405	132866560	132868031	http://www.ncbi.nlm.nih.gov/gene/27089	
COX4I1	Electron transport chain	16	COX4I1: Cytochrome c oxidase subunit IV isoform 1 essential component of complex IV	ENSG00000131143	85798633	85807044	http://www.ncbi.nlm.nih.gov/gene/1327	
COX4I2	Electron transport chain	20	COX4I2: Cytochrome c oxidase subunit IV isoform 2 (lung) essential component of complex IV	ENSG00000131055	31637888	31645006	http://www.ncbi.nlm.nih.gov/gene/84701	
COX5A	Electron transport chain	15	COX5A: Cytochrome c oxidase subunit Va essential component of complex IV	ENSG00000178741	74919791	74938168	http://www.ncbi.nlm.nih.gov/gene/9377	
COX5B	Electron transport chain	2	COX5B: Cytochrome c oxidase subunit Vb essential component of complex IV	ENSG00000135940	97646040	97648383	http://www.ncbi.nlm.nih.gov/gene/1329	
COX6A1	Electron transport chain	12	COX6A1: Cytochrome c oxidase subunit VIa polypeptide 1 essential component of complex IV	ENSG00000111775	120438090	120440742	http://www.ncbi.nlm.nih.gov/gene/1337	
COX6A2	Electron transport chain	16	COX6A2: Cytochrome c oxidase subunit VIa polypeptide 2 essential component of complex IV	ENSG00000156885	31427731	31428428	http://www.ncbi.nlm.nih.gov/gene/1339	
COX6B1	Electron transport chain	19	COX6B1: Cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) essential component of complex IV	ENSG00000126267	35648223	35658861	http://www.ncbi.nlm.nih.gov/gene/1340	
COX6B2	Electron transport chain	19	COX6B2: Cytochrome c oxidase subunit VIb polypeptide 2 (testis) essential component of complex IV	ENSG00000160471	55349306	55354814	http://www.ncbi.nlm.nih.gov/gene/125965	
COX6C	Electron transport chain	8	COX6C: Cytochrome c oxidase subunit VIc essential component of complex IV	ENSG00000164919	99873200	99894062	http://www.ncbi.nlm.nih.gov/gene/1345	
COX7A1	Electron transport chain	19	COX7A1: Cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) essential component of complex IV	ENSG00000161281	36150922	36152869	http://www.ncbi.nlm.nih.gov/gene/1346	
COX7A2	Electron transport chain	6	COX7A2: Cytochrome c oxidase subunit VIIa polypeptide 2 (liver) essential component of complex IV	ENSG00000112695	75237675	75250323	http://www.ncbi.nlm.nih.gov/gene/1347	
COX7B	Electron transport chain	X	COX7B: Cytochrome c oxidase subunit VIIb essential component of complex IV	ENSG00000131174	77899438	77907373	http://www.ncbi.nlm.nih.gov/gene/1349	
COX7B2	Electron transport chain	4	COX7B2: Cytochrome c oxidase subunit VIIb2 essential component of complex IV	ENSG00000170516	46734827	46909235	http://www.ncbi.nlm.nih.gov/gene/170712	
COX7C	Electron transport chain	5	COX7C: Cytochrome c oxidase subunit VIIc essential component of complex IV	ENSG00000127184	86617904	86620962	http://www.ncbi.nlm.nih.gov/gene/1350	
COX8A	Electron transport chain	11	COX8A: Cytochrome c oxidase subunit VIIIA (ubiquitous) essential component of complex IV	ENSG00000176340	63974607	63976543	http://www.ncbi.nlm.nih.gov/gene/1351	
MT-CO1	Electron transport chain	MT	MT-CO1: Mitochondrially encoded cytochrome c oxidase I essential component of complex IV	ENSG00000198804	5904	7445	http://www.ncbi.nlm.nih.gov/gene/4512	
MT-CO2	Electron transport chain	MT	MT-CO2: Mitochondrially encoded cytochrome c oxidase II essential component of complex IV	ENSG00000198712	7586	8269	http://www.ncbi.nlm.nih.gov/gene/4513	
MT-CO3	Electron transport chain	MT	MT-CO3: Mitochondrially encoded cytochrome c oxidase III essential component of complex IV	ENSG00000198938	9207	9990	http://www.ncbi.nlm.nih.gov/gene/4514	
ATP5A1	Electron transport chain	18	ATP5A1: ATP synthase H+ transporting mitochondrial F1 complex alpha subunit 1 cardiac muscle essential component of complex V	ENSG00000152234	46080248	46104334	http://www.ncbi.nlm.nih.gov/gene/498	
ATP5B	Electron transport chain	12	ATP5B: ATP synthase H+ transporting mitochondrial F1 complex beta polypeptide essential component of complex V	ENSG00000110955	56638175	56646068	http://www.ncbi.nlm.nih.gov/gene/506	
ATP5C1	Electron transport chain	10	ATP5C1: ATP synthase H+ transporting mitochondrial F1 complex gamma polypeptide 1 essential component of complex V	ENSG00000165629	7788129	7807815	http://www.ncbi.nlm.nih.gov/gene/509	
ATP5D	Electron transport chain	19	ATP5D: ATP synthase H+ transporting mitochondrial F1 complex delta subunit essential component of complex V	ENSG00000099624	1241746	1244826	http://www.ncbi.nlm.nih.gov/gene/513	
ATP5E	Electron transport chain	20	ATP5E: ATP synthase H+ transporting mitochondrial F1 complex epsilon subunit essential component of complex V	ENSG00000124172	59025467	59032382	http://www.ncbi.nlm.nih.gov/gene/514	
ATP5F1	Electron transport chain	1	ATP5F1: ATP synthase H+ transporting mitochondrial Fo complex subunit B1 essential component of complex V	ENSG00000116459	111448864	111462773	http://www.ncbi.nlm.nih.gov/gene/515	
ATP5G1	Electron transport chain	17	ATP5G1: ATP synthase H+ transporting mitochondrial Fo complex subunit C1 (subunit 9) essential component of complex V	ENSG00000159199	48892765	48895871	http://www.ncbi.nlm.nih.gov/gene/516	
ATP5G2	Electron transport chain	12	ATP5G2: ATP synthase H+ transporting mitochondrial Fo complex subunit C2 (subunit 9) essential component of complex V	ENSG00000135390	53632726	53677408	http://www.ncbi.nlm.nih.gov/gene/517	
ATP5G3	Electron transport chain	2	ATP5G3: ATP synthase H+ transporting mitochondrial Fo complex subunit C3 (subunit 9) essential component of complex V	ENSG00000154518	175176258	175184607	http://www.ncbi.nlm.nih.gov/gene/518	
ATP5H	Electron transport chain	17	ATP5H: ATP synthase H+ transporting mitochondrial Fo complex subunit d essential component of complex V	ENSG00000167863	75038863	75046985	http://www.ncbi.nlm.nih.gov/gene/10476	
ATP5I	Electron transport chain	4	ATP5I: ATP synthase H+ transporting mitochondrial Fo complex subunit E essential component of complex V	ENSG00000169020	672436	674338	http://www.ncbi.nlm.nih.gov/gene/521	
ATP5J	Electron transport chain	21	ATP5J: ATP synthase H+ transporting mitochondrial Fo complex subunit F6 essential component of complex V	ENSG00000154723	25716503	25735673	http://www.ncbi.nlm.nih.gov/gene/522	
ATP5J2	Electron transport chain	7	ATP5J2: ATP synthase H+ transporting mitochondrial Fo complex subunit F2 essential component of complex V	ENSG00000241468	99448475	99466331	http://www.ncbi.nlm.nih.gov/gene/9551	
ATP5L	Electron transport chain	11	ATP5L: ATP synthase H+ transporting mitochondrial Fo complex subunit G essential component of complex V	ENSG00000167283	118401154	118431496	http://www.ncbi.nlm.nih.gov/gene/10632	
ATP5O	Electron transport chain	21	ATP5O: ATP synthase H+ transporting mitochondrial F1 complex O subunit essential component of complex V	ENSG00000241837	33903453	33915980	http://www.ncbi.nlm.nih.gov/gene/539	
ATPIF1	Electron transport chain	1	ATPIF1: ATPase inhibitory factor 1 essential component of complex V	ENSG00000130770	28236109	28246906	http://www.ncbi.nlm.nih.gov/gene/93974	
MT-ATP6	Electron transport chain	MT	MT-ATP6: Mitochondrially encoded ATP synthase 6 essential component of complex V	ENSG00000198899	8527	9207	http://www.ncbi.nlm.nih.gov/gene/4508	
MT-ATP8	Electron transport chain	MT	MT-ATP8: Mitochondrially encoded ATP synthase 6 essential component of complex V	ENSG00000228253	8366	8572	http://www.ncbi.nlm.nih.gov/gene/4509	
SLC27A1	Fatty acid beta-oxidation	19	SLC27A1: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000130304	17468769	17506168	http://www.ncbi.nlm.nih.gov/gene/376497	
SLC27A2	Fatty acid beta-oxidation	15	SLC27A2: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000140284	50182196	50236395	http://www.ncbi.nlm.nih.gov/gene/11001	
SLC27A3	Fatty acid beta-oxidation	1	SLC27A3: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000143554	153774354	153780157	http://www.ncbi.nlm.nih.gov/gene/11000	
SLC27A4	Fatty acid beta-oxidation	9	SLC27A4: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000167114	128340646	128361470	http://www.ncbi.nlm.nih.gov/gene/10999	
SLC27A5	Fatty acid beta-oxidation	19	SLC27A5: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000083807	58479512	58512413	http://www.ncbi.nlm.nih.gov/gene/10998	
SLC27A6	Fatty acid beta-oxidation	5	SLC27A6: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000113396	128538013	129033642	http://www.ncbi.nlm.nih.gov/gene/28965	
ACSL1	Fatty acid beta-oxidation	4	ACSL1: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000151726	184755595	184826818	http://www.ncbi.nlm.nih.gov/gene/2180	
ACSL3	Fatty acid beta-oxidation	2	ACSL3: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000123983	222860934	222944639	http://www.ncbi.nlm.nih.gov/gene/2181	
ACSL4	Fatty acid beta-oxidation	X	ACSL4: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000068366	109624244	109733403	http://www.ncbi.nlm.nih.gov/gene/2182	
ACSL5	Fatty acid beta-oxidation	10	ACSL5: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000197142	112374018	112428380	http://www.ncbi.nlm.nih.gov/gene/51703	
ACSL6	Fatty acid beta-oxidation	5	ACSL6: Acyl-CoA synthetase activity for long chain free fatty acids are also involved in the activation of fatty acids	ENSG00000164398	131949973	132012243	http://www.ncbi.nlm.nih.gov/gene/23305	
ACSS1	Fatty acid beta-oxidation	20	ACSS1: Acyl-CoA synthetase activity for short chain fatty acids	ENSG00000154930	25006230	25058980	http://www.ncbi.nlm.nih.gov/gene/84532	
ACSS2	Fatty acid beta-oxidation	20	ACSS2: Acyl-CoA synthetase activity for short chain fatty acids	ENSG00000131069	34872146	34927962	http://www.ncbi.nlm.nih.gov/gene/55902	
ACSS3	Fatty acid beta-oxidation	12	ACSS3: Acyl-CoA synthetase activity for short chain fatty acids	ENSG00000111058	80936414	81261205	http://www.ncbi.nlm.nih.gov/gene/79611	
ACSM1	Fatty acid beta-oxidation	16	ACSM1: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000166743	20623237	20698890	http://www.ncbi.nlm.nih.gov/gene/116285	
ACSM2A	Fatty acid beta-oxidation	16	ACSM2A: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000183747	20451461	20487667	http://www.ncbi.nlm.nih.gov/gene/123876	
ACSM2B	Fatty acid beta-oxidation	16	ACSM2B: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000066813	20536226	20576427	http://www.ncbi.nlm.nih.gov/gene/348158	
ACSM3	Fatty acid beta-oxidation	16	ACSM3: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000005187	20610243	20797581	http://www.ncbi.nlm.nih.gov/gene/6296	
ACSM4	Fatty acid beta-oxidation	12	ACSM4: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000215009	7304284	7328724	http://www.ncbi.nlm.nih.gov/gene/341392	
ACSM5	Fatty acid beta-oxidation	16	ACSM5: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000183549	20409534	20441336	http://www.ncbi.nlm.nih.gov/gene/54988	
C10orf129	Fatty acid beta-oxidation	10	C10orf129: ACSM6 Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000173124	95194200	95228928	http://www.ncbi.nlm.nih.gov/gene/142827	Also known as ACSM6
ACSBG1	Fatty acid beta-oxidation	15	ACSBG1: Acyl-CoA synthetase activity for bubblegum family members	ENSG00000103740	78167468	78245688	http://www.ncbi.nlm.nih.gov/gene/23205	
ACSBG2	Fatty acid beta-oxidation	19	ACSBG2: Acyl-CoA synthetase activity for bubblegum family members	ENSG00000130377	6135247	6193094	http://www.ncbi.nlm.nih.gov/gene/81616	
FABP1	Fatty acid beta-oxidation	2	FABP1: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000163586	88122982	88128116	http://www.ncbi.nlm.nih.gov/gene/2168	
FABP2	Fatty acid beta-oxidation	4	FABP2: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000145384	119317250	119322390	http://www.ncbi.nlm.nih.gov/gene/2169	
FABP3	Fatty acid beta-oxidation	1	FABP3: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000121769	31365625	31376850	http://www.ncbi.nlm.nih.gov/gene/2170	
FABP4	Fatty acid beta-oxidation	8	FABP4: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000170323	81478419	81483263	http://www.ncbi.nlm.nih.gov/gene/2167	
FABP5	Fatty acid beta-oxidation	8	FABP5: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000164687	81280363	81284777	http://www.ncbi.nlm.nih.gov/gene/2171	
FABP6	Fatty acid beta-oxidation	5	FABP6: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000170231	160187367	160238735	http://www.ncbi.nlm.nih.gov/gene/2172	
FABP7	Fatty acid beta-oxidation	6	FABP7: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000164434	122779475	122784074	http://www.ncbi.nlm.nih.gov/gene/2173	
FABP9	Fatty acid beta-oxidation	8	FABP9: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000205186	81458341	81461579	http://www.ncbi.nlm.nih.gov/gene/646480	
FABP12	Fatty acid beta-oxidation	8	FABP12: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000197416	81524981	81531378	http://www.ncbi.nlm.nih.gov/gene/646486	
CD36	Fatty acid beta-oxidation	7	CD36: Fatty acid translocase	ENSG00000135218	80369575	80679277	http://www.ncbi.nlm.nih.gov/gene/948	
GOT1	Fatty acid beta-oxidation	10	GOT1: Plasma membrane fatty acid binding protein	ENSG00000120053	99396870	99430773	https://www.ncbi.nlm.nih.gov/gene/2805
GOT2	Fatty acid beta-oxidation	16	GOT2: Plasma membrane fatty acid binding protein	ENSG00000125166	58707131	58734357	http://www.ncbi.nlm.nih.gov/gene/2806	
CPT1A	Fatty acid beta-oxidation	11	CPT1A: Carnitiine palmitoyl transferase converts an acyl-CoA into an acylcarnitine	ENSG00000110090	68754620	68844410	http://www.ncbi.nlm.nih.gov/gene/1374	
CPT1B	Fatty acid beta-oxidation	22	CPT1B: Carnitiine palmitoyl transferase converts an acyl-CoA into an acylcarnitine	ENSG00000205560	50568861	50578465	http://www.ncbi.nlm.nih.gov/gene/1375	
CPT1C	Fatty acid beta-oxidation	19	CPT1C: Carnitiine palmitoyl transferase converts an acyl-CoA into an acylcarnitine	ENSG00000169169	49690898	49713731	http://www.ncbi.nlm.nih.gov/gene/126129	
SLC25A20	Fatty acid beta-oxidation	3	SLC25A20: Carnitine acylcarnitine translocase mediates acylcarnitine entry into mitochondria	ENSG00000178537	48856931	48898993	http://www.ncbi.nlm.nih.gov/gene/788	
CPT2	Fatty acid beta-oxidation	1	CPT2: Acylcarnitines are reconverted to their CoA esters by carnitine palmitoyltransferase 2	ENSG00000157184	53196429	53214197	http://www.ncbi.nlm.nih.gov/gene/1376	
CRAT	Fatty acid beta-oxidation	9	CRAT: Free carnitine in the mitochondria can be converted into acyl carnitine by the action of carnitine acetyl transferase	ENSG00000095321	129094810	129111189	http://www.ncbi.nlm.nih.gov/gene/1384	
ACAD8	Fatty acid beta-oxidation	11	ACAD8: Involved in the caatabolism of fatty acids and branched chain aminoacid valine	ENSG00000151498	134253495	134265855	http://www.ncbi.nlm.nih.gov/gene/27034	
ACAD10	Fatty acid beta-oxidation	12	ACAD10: Involved in the catabolism of fatty acids with significant activity towards branched chains	ENSG00000111271	111686056	111757107	http://www.ncbi.nlm.nih.gov/gene/80724	
ACAD11	Fatty acid beta-oxidation	3	ACAD11: May be involved in the catabolism of long chain fatty acids	ENSG00000240303	132558138	132660723	http://www.ncbi.nlm.nih.gov/gene/84129	
ACADL	Fatty acid beta-oxidation	2	ACADL: Long chain hydroxyacyl-CoA dehydrogenase	ENSG00000115361	210187939	210225491	http://www.ncbi.nlm.nih.gov/gene/33	
ACADVL	Fatty acid beta-oxidation	17	ACADVL: Very long chain acyl-CoAs are first catalyzed by long chain acyl-CoA dehydrogenase	ENSG00000072778	7217125	7225273	http://www.ncbi.nlm.nih.gov/gene/37	
HADHA	Fatty acid beta-oxidation	2	HADHA: Mitochondrial trifunctional protein catalyzes the Very long and long chain fatty acids	ENSG00000084754	26190635	26244726	http://www.ncbi.nlm.nih.gov/gene/3030	
HADHB	Fatty acid beta-oxidation	2	HADHB: Mitochondrial trifunctional protein catalyzes the Very long and long chain fatty acids	ENSG00000138029	26243170	26290468	http://www.ncbi.nlm.nih.gov/gene/3032	
ACADM	Fatty acid beta-oxidation	1	ACADM: Fatty acids are metabolized for 3 to 4 cycles by the medium chain acyl-CoA dehydrogenase	ENSG00000117054	75724347	75787575	http://www.ncbi.nlm.nih.gov/gene/34	
ECHS1	Fatty acid beta-oxidation	10	ECHS1: Enoyl-CoA hydratases, short chain, 1, mitochondrial	ENSG00000127884	133362480	133373689	http://www.ncbi.nlm.nih.gov/gene/1892	
HADH	Fatty acid beta-oxidation	4	HADH: Medium and short chain hydroxyacyl-CoA dehydrogenase	ENSG00000138796	107989714	108035175	http://www.ncbi.nlm.nih.gov/gene/3033	
ACAA2	Fatty acid beta-oxidation	18	ACAA2: Medium chain 3-ketoacyl-CoA thiolase	ENSG00000167315	49782167	49813960	http://www.ncbi.nlm.nih.gov/gene/10449	
