gene	process	chr	function	ENSG
ALDH2	Fatty Acid Degradation	NA	acetaldehyde dehydrogenase (acetylating) activity; aldehyde dehydrogenase (NAD) activity	NA
ABCB7	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; heme transporter activity; transporter activity	NA
GLUL	Amino Acid Metabolism	NA	glutamate synthase activity; glutamate-ammonia ligase activity	NA
LETMD1	Apoptosis	NA	ribosome binding	NA
ALDH1B1	Fatty Acid Degradation	NA	acetaldehyde dehydrogenase (acetylating) activity; aldehyde dehydrogenase (NAD) activity	NA
ABCB6	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; heme transporter activity; transporter activity	NA
LIAS	Lipoic Acid Metabolism	NA	4 iron 4 sulfur cluster binding; lipoate synthase activity	NA
ALDH3A2	Fatty Acid Degradation	NA	aldehyde dehydrogenase [NAD(P)+] activity; oxidoreductase activity acting on the aldehyde or oxo group of donors NAD or NADP as acceptor	NA
ABCB8	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; oligopeptide-transporting ATPase activity; transporter activity; xenobiotic-transporting ATPase activity	NA
LIG1	Replication & Transcription	NA	ATP binding; DNA binding; DNA ligase (ATP) activity	NA
CHCHD4	Import & Sorting	NA	Unknown from fly file  	NA
ABCB10	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; oligopeptide-transporting ATPase activity; transporter activity; xenobiotic-transporting ATPase activity	NA
LIPT1	Lipoic Acid Metabolism	NA	lipoate-protein ligase activity; lipoyltransferase activity	NA
CHCHD4	Import & Sorting	NA	ribonuclease activity	NA
ALDH4A1	Amino Acid Metabolism	NA	Unknown from fly file  	NA
ABCB8	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; transporter activity	NA
LIPT2	Lipoic Acid Metabolism	NA	lipoate-protein ligase activity; octanoyltransferase activity	NA
CHCHD7	Import & Sorting	NA	Unknown from fly file  	NA
C15orf61	Amino Acid Metabolism	NA	Unknown from fly file  	NA
ABCB10	Import & Sorting	NA	ATP binding; ATPase activity coupled to transmembrane movement of substances; transporter activity	NA
LRPPRC	Translation	NA		NA
CISD3	Electron Transport Chain	NA	Two-iron-two-sulfur cluster binding	NA
ACAD9	Electron Transport Chain	NA	flavin adenine dinucleotide binding; long-chain-acyl-CoA dehydrogenase activity	NA
LRPPRC	Translation	NA	mRNA 3'-UTR binding	NA
CLIC4	Apoptosis	NA	calcium ion binding; chloride channel activity; lipid binding	NA
CLPP	Protein Stability & Degradation	NA	serine-type endopeptidase activity	NA
CLPX	Heme Biosynthesis	NA	ATP binding; nucleoside-triphosphatase activity; serine-type endopeptidase activity; unfolded protein binding	NA
APOOL	Mitochondrial Dynamics	NA	  	NA
COASY	Metabolism of Vitamins & Co-Factors	NA	ATP binding; dephospho-CoA kinase activity; pantetheine-phosphate adenylyltransferase activity	NA
MIC27	Mitochondrial Dynamics	NA	  	NA
COQ10B	Electron Transport Chain	NA	Unknown from fly file  	NA
APOPT1	Apoptosis	NA	molecular_function	NA
ARG2	Nitrogen Metabolism	NA	arginase activity; metal ion binding	NA
ATP5A1	Electron Transport Chain	NA	ATP binding; hydrogen-exporting ATPase activity phosphorylative mechanism; proton-transporting ATP synthase activity rotational mechanism; proton-transporting ATPase activity rotational mechanism	NA
ATP5C1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism; proton-transporting ATP synthase activity rotational mechanism; proton-transporting ATPase activity rotational mechanism	NA
ATP5D	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism; proton-transporting ATP synthase activity rotational mechanism; proton-transporting ATPase activity rotational mechanism	NA
ATP5F1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism; proton-transporting ATP synthase activity rotational mechanism	NA
GPD2	Electron Transport Chain	NA	glycerol-3-phosphate dehydrogenase activity	NA
GPX4	ROS Defense	NA	glutathione peroxidase activity; peroxidase activity	NA
GRPEL1	Import & Sorting	NA	adenyl-nucleotide exchange factor activity; chaperone binding; protein homodimerization activity; unfolded protein binding	NA
ALDH5A1	Amino Acid Metabolism	NA	succinate-semialdehyde dehydrogenase (NAD+) activity; succinate-semialdehyde dehydrogenase [NAD(P)+] activity	NA
GRPEL2	Import & Sorting	NA	adenyl-nucleotide exchange factor activity; chaperone binding; protein homodimerization activity; unfolded protein binding	NA
ALDH6A1	Amino Acid Metabolism	NA	methylmalonate-semialdehyde dehydrogenase (acylating) activity	NA
GSR	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; NADP binding; thioredoxin-disulfide reductase activity	NA
MALSU1	Translation	NA	molecular_function	NA
ALDOC	Glycolysis	NA	fructose-bisphosphate aldolase activity	NA
TXNRD1	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; NADP binding; thioredoxin-disulfide reductase activity	NA
MARS2	Translation	NA	ATP binding; methionine-tRNA ligase activity	NA
ALKBH1	Replication & Transcription	NA	oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen 2-oxoglutarate as one donor and incorporation of one atom each of oxygen into both donors	NA
TXNRD2	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; NADP binding; thioredoxin-disulfide reductase activity	NA
MCAT	Fatty Acid Biosynthesis	NA	[acyl-carrier-protein] S-malonyltransferase activity	NA
AMACR	Bile Acid Synthesis	NA	alpha-methylacyl-CoA racemase activity	NA
GSR	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; glutathione-disulfide reductase activity; NADP binding; protein homodimerization activity; thioredoxin-disulfide reductase activity	NA
MCU	Calcium Signaling & Transport	NA	nucleic acid binding	NA
APOA1BP	Mitochondrial Signaling	NA	molecular_function	NA
MDH1	TCA Cycle	NA	L-malate dehydrogenase activity	NA
COQ2	Ubiquinone Biosynthesis	NA	4-hydroxybenzoate octaprenyltransferase activity	NA
ASS1	Amino Acid Metabolism	NA	argininosuccinate synthase activity; ATP binding	NA
COQ3	Ubiquinone Biosynthesis	NA	2-polyprenyl-6-methoxy-1 4-benzoquinone methyltransferase activity; hexaprenyldihydroxybenzoate methyltransferase activity	NA
ATAD1	Protein Stability & Degradation	NA	ATP binding; ATPase activity; nucleoside-triphosphatase activity	NA
MDH2	TCA Cycle	NA	L-malate dehydrogenase activity; malate dehydrogenase activity	NA
COQ4	Ubiquinone Biosynthesis	NA	molecular_function	NA
ATAD3A	Replication & Transcription	NA	ATP binding; nucleoside-triphosphatase activity	NA
COQ5	Ubiquinone Biosynthesis	NA	2-polyprenyl-6-methoxy-1 4-benzoquinone methyltransferase activity	NA
ATAD3B	Replication & Transcription	NA	ATP binding; nucleoside-triphosphatase activity	NA
COQ6	Ubiquinone Biosynthesis	NA	flavin adenine dinucleotide binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen NAD(P)H as one donor and incorporation of one atom of oxygen	NA
COX11	Electron Transport Chain	NA	procollagen-lysine 5-dioxygenase activity	NA
COX16	Electron Transport Chain	NA	Unknown from fly file  	NA
COX18	Electron Transport Chain	NA	  	NA
ATP5F1	Electron Transport Chain	NA	proton-transporting ATP synthase activity rotational mechanism	NA
CPS1	Nitrogen Metabolism	NA	amino acid binding; aspartate carbamoyltransferase activity; ATP binding; carbamoyl-phosphate synthase (ammonia) activity; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; dihydroorotase activity; glutamine binding; metal ion binding	NA
ATP5G1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
CPT1A	Fatty Acid Degradation	NA	carnitine O-palmitoyltransferase activity	NA
ATP5G2	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
ATP5G3	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
ATP5I	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
ATP5J2	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
ATP5J	Electron Transport Chain	NA	hydrogen ion transmembrane transporter activity; hydrogen-exporting ATPase activity phosphorylative mechanism	NA
ATP5J	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
TXNRD1	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; glutathione-disulfide reductase activity; NADP binding; protein homodimerization activity; thioredoxin-disulfide reductase activity	NA
TXNRD2	ROS Defense	NA	antioxidant activity; flavin adenine dinucleotide binding; glutathione-disulfide reductase activity; NADP binding; protein homodimerization activity; thioredoxin-disulfide reductase activity	NA
GUF1	Translation	NA	GTP binding; GTPase activity; translation elongation factor activity	NA
HADH	Fatty Acid Elongation	NA	3-hydroxyacyl-CoA dehydrogenase activity; NAD+ binding	NA
HADHA	Fatty Acid Elongation	NA	3-hydroxyacyl-CoA dehydrogenase activity; coenzyme binding; enoyl-CoA hydratase activity; long-chain-3-hydroxyacyl-CoA dehydrogenase activity	NA
ATIC	Nucleotide Metabolism	NA	IMP cyclohydrolase activity; phosphoribosylaminoimidazolecarboxamide formyltransferase activity	NA
HADHB	Fatty Acid Elongation	NA	acetyl-CoA C-acyltransferase activity; long-chain-3-hydroxyacyl-CoA dehydrogenase activity	NA
ATP5S	Electron Transport Chain	NA	Unknown from fly file  	NA
HARS2	Translation	NA	ATP binding; histidine-tRNA ligase activity	NA
ATP5SL	Electron Transport Chain	NA	Unknown from fly file  	NA
HCCS	Electron Transport Chain	NA	holocytochrome-c synthase activity	NA
HIGD1A	Electron Transport Chain	NA		NA
BAD	Apoptosis	NA	Unknown from fly file  	NA
HIGD1A	Electron Transport Chain	NA	  	NA
METTL17	Translation	NA	copper ion binding; methyltransferase activity	NA
BCAT1	Amino Acid Metabolism	NA	branched-chain-amino-acid transaminase activity	NA
CPT1B	Fatty Acid Degradation	NA	carnitine O-palmitoyltransferase activity	NA
BCAT2	Amino Acid Metabolism	NA	branched-chain-amino-acid transaminase activity	NA
CPT1C	Fatty Acid Degradation	NA	carnitine O-palmitoyltransferase activity	NA
BDH1	Fatty Acid Metabolism	NA	oxidoreductase activity acting on CH-OH group of donors	NA
CPT2	Fatty Acid Degradation	NA		NA
BNIP1	Apoptosis	NA	SNAP receptor activity	NA
MICU2EFHA1	Calcium Signaling & Transport	NA	calcium ion binding	NA
CTPS2	Nucleotide Metabolism	NA	ATP binding; CTP synthase activity	NA
BPHL	Translation	NA	serine hydrolase activity	NA
CTPS2	Nucleotide Metabolism	NA	DNA binding	NA
MPC1	Pyruvate Metabolism	NA	pyruvate transmembrane transporter activity	NA
CTSB	Apoptosis	NA	cysteine-type endopeptidase activity	NA
CTU1	Translation	NA	ATP binding; tRNA binding	NA
ATP5O	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism; proton-transporting ATP synthase activity rotational mechanism	NA
CYP11A1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
ATP5O	Electron Transport Chain	NA	molecular_function	NA
ATP5S	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
ATP5SL	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism	NA
ATP6	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism; proton-transporting ATP synthase activity rotational mechanism	NA
ATP8	Electron Transport Chain	NA	hydrogen-exporting ATPase activity phosphorylative mechanism; proton-transporting ATP synthase activity rotational mechanism	NA
ATP6V1E1	Electron Transport Chain	NA	proton-transporting ATPase activity rotational mechanism	NA
ATPAF1	Electron Transport Chain	NA	  	NA
ATPAF2	Electron Transport Chain	NA	  	NA
MPC2	Pyruvate Metabolism	NA	molecular_function	NA
MPV17	ROS Defense	NA	molecular_function	NA
MPV17L2	Translation	NA		NA
MPV17L2	Translation	NA	  	NA
CYP11B1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
MPV17L2	Translation	NA	mitochondrial ribosome assembly	NA
CYP11B2	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
MRPL52	Translation	NA	structural constituent of ribosome	NA
CYP24A1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
MRP63	Translation	NA		NA
MRPL53	Translation	NA	structural constituent of ribosome	NA
CYP27A1	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
MRPL10	Translation	NA	structural constituent of ribosome	NA
MRPL54	Translation	NA	structural constituent of ribosome	NA
CYP11A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
MRPL11	Translation	NA	structural constituent of ribosome	NA
MRPL55	Translation	NA	mRNA binding; sequence-specific DNA binding transcription factor activity; structural constituent of ribosome	NA
CYP24A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
MRPL9	Translation	NA	structural constituent of ribosome	NA
GADD45GIP1	Translation	NA	  	NA
MRPS10	Translation	NA	structural constituent of ribosome	NA
CYP27B1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
AUH	Amino Acid Metabolism	NA	AU-rich element binding; enoyl-CoA hydratase activity	NA
MRPS11	Translation	NA	structural constituent of ribosome	NA
GBAS	Electron Transport Chain	NA	molecular_function	NA
CYP24A1	Metabolism of Vitamins & Co-Factors	NA	ecdysone 20-monooxygenase activity; electron carrier activity; heme binding; iron ion binding	NA
ECHDC2	Amino Acid Metabolism	NA	AU-rich element binding; enoyl-CoA hydratase activity	NA
MRPS12	Translation	NA	structural constituent of ribosome	NA
NIPSNAP1	Electron Transport Chain	NA	molecular_function	NA
CYP24A1	Metabolism of Vitamins & Co-Factors	NA	ecdysteroid 22-hydroxylase activity; electron carrier activity; heme binding; iron ion binding; oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen	NA
BCKDHA	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	NA
MRPS14	Translation	NA	structural constituent of ribosome	NA
GCDH	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding; glutaryl-CoA dehydrogenase activity	NA
BCKDHB	Amino Acid Metabolism	NA	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	NA
MRPS15	Translation	NA	structural constituent of ribosome	NA
GCSH	Amino Acid Metabolism	NA	  	NA
BCS1L	Electron Transport Chain	NA	ATP binding; ATPase activity	NA
GFER	Apoptosis	NA	flavin-linked sulfhydryl oxidase activity	NA
BNIP3	Apoptosis	NA	  	NA
BNIP3L	Apoptosis	NA	  	NA
C10orf2	Replication & Transcription	NA	5'-3' DNA helicase activity; ATP binding; single-stranded DNA binding	NA
C19orf70	Mitochondrial Dynamics	NA	  	NA
MRPL12	Translation	NA	chromatin binding; structural constituent of ribosome	NA
MRPL13	Translation	NA	structural constituent of ribosome	NA
MRPL14	Translation	NA	structural constituent of ribosome	NA
MRPL15	Translation	NA	structural constituent of ribosome	NA
MRPL16	Translation	NA	rRNA binding; structural constituent of ribosome	NA
MRPL17	Translation	NA	structural constituent of ribosome	NA
MRPL18	Translation	NA	structural constituent of ribosome	NA
MRPS16	Translation	NA	structural constituent of ribosome	NA
DDAH1	Nitrogen Metabolism	NA	dimethylargininase activity	NA
MRPL19	Translation	NA	structural constituent of ribosome	NA
MRPS17	Translation	NA	structural constituent of ribosome	NA
DHFRL1	Folate & Pterine Metabolism	NA	dihydrofolate reductase activity; NADP binding; protein binding	NA
MRPL1	Translation	NA	RNA binding; structural constituent of ribosome	NA
MRPS18A	Translation	NA	structural constituent of ribosome	NA
DHODH	Nucleotide Metabolism	NA	dihydroorotate dehydrogenase activity; dihydroorotate oxidase activity	NA
MRPL20	Translation	NA	rRNA binding; structural constituent of ribosome	NA
MRPS18B	Translation	NA	structural constituent of ribosome	NA
DHODH	Nucleotide Metabolism	NA	flavin adenine dinucleotide binding; FMN binding; glutamate synthase (NADH) activity; glutamate synthase (NADPH) activity; iron ion binding; iron-sulfur cluster binding	NA
MRPS18C	Translation	NA	structural constituent of ribosome	NA
GLDC	Amino Acid Metabolism	NA	glycine dehydrogenase (decarboxylating) activity; pyridoxal phosphate binding	NA
DHRS4	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity acting on CH-OH group of donors	NA
MRPS21	Translation	NA	structural constituent of ribosome	NA
GLRX5	ROS Defense	NA	electron carrier activity; protein disulfide oxidoreductase activity	NA
DNAJA3	Apoptosis	NA	heat shock protein binding; unfolded protein binding	NA
MIC13	Mitochondrial Dynamics	NA	  	NA
MRPS22	Translation	NA	structural constituent of ribosome	NA
GLS	Amino Acid Metabolism	NA	glutaminase activity	NA
DNAJC11	Mitochondrial Dynamics	NA	ATPase activator activity	NA
C22orf32	Calcium Signaling & Transport	NA	  	NA
MRPS23	Translation	NA	structural constituent of ribosome	NA
GLS2	Amino Acid Metabolism	NA	glutaminase activity	NA
DNAJC15	Import & Sorting	NA	Unknown from fly file  	NA
C2orf47	Electron Transport Chain	NA	protein binding	NA
MRPS24	Translation	NA	structural constituent of ribosome	NA
GLUD1	Amino Acid Metabolism	NA	glutamate dehydrogenase (NAD+) activity; glutamate dehydrogenase [NAD(P)+] activity; identical protein binding	NA
MRPS25	Translation	NA	structural constituent of ribosome	NA
GLUD2	Amino Acid Metabolism	NA	glutamate dehydrogenase (NAD+) activity; glutamate dehydrogenase [NAD(P)+] activity; identical protein binding	NA
CAT	ROS Defense	NA	catalase activity; heme binding	NA
GLUD1	Amino Acid Metabolism	NA	glutamate dehydrogenase [NAD(P)+] activity	NA
CHCHD1	Translation	NA	molecular_function	NA
GLUD2	Amino Acid Metabolism	NA	glutamate dehydrogenase [NAD(P)+] activity	NA
CHCHD2	Import & Sorting	NA	seauence-specific DNA binding	NA
GLUL	Amino Acid Metabolism	NA	glutamate-ammonia ligase activity	NA
CHCHD2	Import & Sorting	NA	  	NA
GLYAT	Translation	NA	N-acetyltransferase activity	NA
CHCHD10	Import & Sorting	NA	  	NA
CHCHD2	Import & Sorting	NA	molecular_function	NA
MRPL21	Translation	NA	RNA binding; structural constituent of ribosome	NA
MRPL22	Translation	NA	structural constituent of ribosome	NA
MRPL23	Translation	NA	nucleotide binding; structural constituent of ribosome	NA
MRPL24	Translation	NA	structural constituent of ribosome	NA
MRPL27	Translation	NA	structural constituent of ribosome	NA
DNAJC30	Protein Stability & Degradation	NA	chaperone binding	NA
MRPL28	Translation	NA	structural constituent of ribosome	NA
MRPL2	Translation	NA	structural constituent of ribosome	NA
MRPS26	Translation	NA	structural constituent of ribosome	NA
DNM1L	Mitochondrial Dynamics	NA	actin binding; GTP binding; GTPase activity; microtubule binding; microtubule motor activity	NA
MRPL30	Translation	NA	structural constituent of ribosome	NA
MRPS27	Translation	NA	sequence-specific DNA binding transcription factor activity	NA
DTYMK	Nucleotide Metabolism	NA	ATP binding; thymidylate kinase activity	NA
MRPL32	Translation	NA	structural constituent of ribosome	NA
MRPS28	Translation	NA	structural constituent of ribosome	NA
DUT	Nucleotide Metabolism	NA	dUTP diphosphatase activity	NA
MRPL33	Translation	NA	structural constituent of ribosome	NA
MRPS2	Translation	NA	structural constituent of ribosome	NA
DYNLL1	Apoptosis	NA	ATPase activity coupled; dynein intermediate chain binding; microtubule motor activity; protein binding; protein homodimerization activity	NA
MRPS30	Translation	NA	structural constituent of ribosome	NA
GLYATL2	Translation	NA	molecular_function; N-acetyltransferase activity	NA
ECH1	Fatty Acid Degradation	NA	dodecenoyl-CoA delta-isomerase activity	NA
MRPS31	Translation	NA	structural constituent of ribosome	NA
GLYATL3	Translation	NA	N-acetyltransferase activity	NA
ECHDC2	Fatty Acid Degradation	NA	delta5-delta2 4-dienoyl-CoA isomerase activity	NA
CHCHD10	Import & Sorting	NA	molecular_function	NA
MRPS33	Translation	NA	structural constituent of ribosome	NA
GLYCTK	Fructose Metabolism	NA	glycerate kinase activity	NA
ECHDC3	Fatty Acid Biosynthesis	NA	enoyl-CoA hydratase activity	NA
CISD1	Electron Transport Chain	NA	Two-iron-two-sulfur cluster binding; molecular_function	NA
MRPS34	Translation	NA	structural constituent of ribosome	NA
ECSIT	Electron Transport Chain	NA	 Innate Response (Toll Pathway)	NA
